City,Price,Beds,Baths,Size,Address,Acres,Description,Agent,Latitude,Longitude,Source
Cary,"$469,900",Spacious,2.5,"2,144","111 Smokehouse Ln, Cary, NC 27513",0.28,"Spacious 4 bedrooms 2.5 baths, offering the perfect blend of comfort and style. Formal living, dining, family room, kitchen and breakfast area. Fireplace in Family room. Step out onto the expansive deck, which overlooks a large backyard—ideal for outdoor entertaining or family activities. Lalit Farmah Tru Realty LLC",(919) 891-1152,35.80770411413306,-78.7683145855998,Nominatim
Cary,"$535,000",3,2.5,"1,882","203 Lochmere Forest Dr, Cary, NC 27518",N/A,"Welcome to a beautifully maintained single-family home nestled in a quiet cul-de-sac in the heart of Cary, North Carolina. Featuring a 2-car garage and expansive deck, this home offers the perfect blend of comfort, style and convenience. You'll discover an open and airy layout with vaulted ceilings",Betsy Simmons Simmons Realty Group,35.73106456762264,-78.78254180170855,Nominatim
Cary,"$550,000",4,2.5,"2,192","1112 Ashford Ln, Cary, NC 27511",0.29,"Situated in one of the most convenient locations in all of the Triangle, in a mature neighborhood with no HOA, rests 1112 Ashford Lane in Cary's highly coveted Walnut Hills subdivision. Resting on a large, flat and landscaped one-third acre lot, this home has been meticulously cared for with its",Allie Parker HODGE & KITTRELL SOTHEBYS INTE,35.76925567520199,-78.75100476639736,Nominatim
Cary,"$536,000",4,3,"2,099","104 Huntington Cir, Cary, NC 27513",0.31,"Welcome to a home where modern comfort meets timeless elegance. The heart of this sanctuary is a cozy fireplace, perfect for chilly evenings, setting a warm ambiance throughout. A neutral color palette adds to the inviting atmosphere, creating a relaxing environment where you can truly unwind and",Thomas Shoupe Opendoor Brokerage LLC,35.79967082645708,-78.7860597298689,Nominatim
Cary,"$495,000",Welcome,2.5,"2,185","109 S Corncrib Ct, Cary, NC 27513",0.31,"Welcome to your dream home. Nestled in a serene cul-de-sac, this beautifully updated 4 bedrooms and 2.5 bath residence offers a perfect blend of modern amenities and timeless charm. Situated on a spacious .31 acre lot, this home boasts fresh paint, new flooring and stylish kitchen cabinets,",Norman Block Block & Associates Realty,35.80676814183143,-78.76550779772559,Nominatim
Cary,"$499,000",Charming,1,842,"314 Webster St, Cary, NC 27511",N/A,"Charming 2BR/1BA Updated Home Walking Distance to Downtown CaryWelcome to your dream home! This beautifully updated 2-bedroom, 1-bathroom home is perfectly situated within walking distance to the vibrant heart of downtown Cary. Experience the perfect blend of classic charm and modern",David Johnson Gaskill Realty Company,35.7857479394849,-78.77476823190659,Nominatim
Cary,"$499,000",Welcome,2.5,"1,855","1217 Pond St, Cary, NC 27511",0.32,"Welcome to 1217 Pond Street! This inviting RENOVATED split-level home is in a fantastic location across from Briarcliff Elementary. Just minutes from downtown Cary, this home sits on a .32-acre lot with mature trees and an open backyard, creating a relaxing outdoor environment. The 4-bedroom,",Jim Cleveland Keller Williams Legacy,35.768559099317606,-78.7864272561449,Nominatim
Cary,"$485,000",Beautiful,2.5,"1,607","938 Ivy Ln, Cary, NC 27511",0.27,"Beautiful property in the heart of Cary. Relax in the amazing outdoor living space with tiered stone patios, built-in grilling space & bar, fire pit and deck all surrounded by beautiful landscaping. Home has 3 bedrooms and 2 1/2 baths. Separate dining and breakfast room. Kitchen with granite and",Tony Gomez Coldwell Banker Advantage,35.77627227980797,-78.75222062394036,Nominatim
Cary,"$510,000",Charming,2.5,"2,202","113 Laurel Branch Dr, Cary, NC 27513",N/A,"Charming 4-Bedroom Home in Brookgreen Forest! Nestled in the desirable Brookgreen Forest neighborhood, just off Cary Parkway, this 4-bedroom, 2.5-bath home offers space and comfort. The main floor features a formal living room and dining room, perfect for entertaining. Enjoy a spacious eat-in",Meagan Shaffer Integra Realty,35.768853798338746,-78.82213811109659,Nominatim
Cary,"$539,900",4,2.5,"1,927","4205 Winding Oak Way, Apex, NC 27539",0.25,"Beautiful two-story home on corner lot in Apex. Custom screened in porch overlooks private wooded area. Fantastic, updated kitchen and all new LVP flooring throughout. New custom Anderson low E windows throughout home. HVAC is less than 3 years old. Home also has complete automatic whole house",Charles Johnson Cambridge & Assoc. R.E. Group,35.69318589430351,-78.77962045736464,Nominatim
Cary,"$530,000",3,Welcome,"1,996","6310 Brandywine Rd, Raleigh, NC 27607",0.54,"Welcome to this charming property, boasting a neutral color paint scheme that enhances its timeless appeal. The kitchen is a chef's dream with all stainless steel appliances, an accent backsplash. The primary bathroom is a sanctuary of relaxation, featuring double sinks for your convenience. The",Thomas Shoupe Opendoor Brokerage LLC,35.8031711,-78.7477758,Google
Cary,"$499,000",Rarely,2,"1,440","4901 Deer Garden Ct, Raleigh, NC 27606",1.34,"Rarely available, beautiful 3 Bed, 2 Bath brick ranch home located on a 1.34 UNRESTRICTED acre lot in a serene cul-de-sac, offering both privacy and convenience. Enjoy the tranquility of a secluded property while being just minutes away from city amenities at Crossroads Plaza, Waverly Place, and",Dan Ashby Ashby Martin and Associates,35.7285277,-78.75269879999999,Google
Cary,"$450,000",One,1,954,"2421 Stephens Rd, Cary, NC 27518",1,"One property. Many options. Beautiful wooded one full acre corner lot with view of Wellington pond.This 2 bedroom, 1 bath ranch can be remodeled into a romantic cottage or moved or torn down to make room for your dream home.Great location in Crossroads area of Cary. Away from it all and",Monte Maney Coldwell Banker Advantage,35.7512636,-78.7598877,Google
Cary,"$475,000",4,3,"1,985","1024 Ivy Ln, Cary, NC 27511",0.26,"NEW ROOF BEING INSTALLED SOON! Retro Charm Meets Prime Location! This charming split-level home, well cared for and loved by one family, is conveniently located just minutes from The Fenton, downtown Cary, and the Triangle Aquatic Center, just to name a few things. Boasting a classic all-brick",Jim Allen Howard Perry & Walston Realtor,35.77481708967783,-78.75379023273958,Nominatim
Cary,"$475,000",3,2.5,"1,935","110 Catherwood Place, Cary, NC 27518",N/A,"Fantastic Floor Plan Perfect for Entertaining!A spacious foyer welcomes your guests and flows into the formal living room. The dining room, featuring charming bay windows, offers a stunning view of your private backyard. The sun-filled kitchen seamlessly connects to the cozy family room, making",Sharon Evans EXP Realty LLC,35.75340141179549,-78.75710964147981,Nominatim
Cary,"$399,000",3,2,"1,217","302 Arvo Ln, Cary, NC 27513",0.41,"A rare gem in the heart of Cary! This hard-to-find, one-level home offers both charm and convenience. Nestled in a peaceful neighborhood, this residence boasts an open floor plan with abundant natural light and spacious living areas, perfect for relaxation and entertaining.The bright",Valerie Troupe Nest Realty of the Triangle,35.767028249999996,-78.82394124999999,Nominatim
Cary,"$480,000",Welcome,3,"1,793","1005 Winwood Dr, Cary, NC 27511",0.43,"Welcome to this stunning 4-bedroom, 3-bathroom home, perfectly located just 5 minutes from downtown Cary and 10 minutes from the lively Fenton shopping, dining, and entertainment! With the recently renovated kitchen and bathrooms (2020), this home boasts modern finishes and thoughtful details",Samuel Duncan DASH Carolina,35.77281240662729,-78.79911499102278,Nominatim
Cary,"$420,000",Desirable,2,"1,263","110 Hawks Nest Ct, Cary, NC 27513",0.31,"Desirable ranch home with inviting front porch in cul-de-sac on wooded lot! New flooring and freshly painted thruout! Welcoming foyer leads into family room with masonry fireplace. Kitchen has newer appliances overlooking backyard with adjacent dining room. Master bedroom w/ full bath, two",Mindy Vowell Choice Residential Real Estate,35.77759680284515,-78.81749116839005,Nominatim
Cary,"$550,000",Perfectly,2.5,"2,048","308 Trimble Ave, Cary, NC 27511",0.26,"Perfectly located just minutes from shopping, major highways, and downtown Cary, this home offers both convenience and tranquility.Inside, the first-floor primary suite provides easy living, while two additional bedrooms are located upstairs for added privacy.As you enter, you're greeted by",Gretchen Coley Compass -- Raleigh,35.76849796169664,-78.80471677598575,Nominatim
Cary,"$550,000",3,2,"1,701","302 SE Maynard Rd, Cary, NC 27511",0.48,"Wonderfully maintained BRICK RANCH in the heart of Cary in the Stoney Brook neighborhood! The front porch welcomes you to this 3bd/2ba home. Entertain outside on your your almost half acre yard. Featuring: New Windows 2024, Interior Paint 2024, Interior Light Fixtures 2024, Switches and outlets",Ted Bohner Picket Fence Realty,35.768344176589416,-78.77621674350996,Nominatim
Cary,"$666,667",N/A,N/A,N/A,"6315 Tryon Rd, Cary, NC 27518",0.6,"Build your dream house on this gorgeous, wooded, inside of Cary Lot. 0.6 acres, zoned R-20, with no covenants or HOA and no impervious area restrictions! Conveniently located on Tryon Road, with easy access to Highway 64, I-40, or the 440 Beltline.",Jonathan Perry Perry Properties & Development,35.745382863034095,-78.75593812297146,Nominatim
Cary,"$469,900",3,2.5,"1,913","207 Wyatts Pond Ln, Cary, NC 27513",0.28,"Welcome to 207 Wyatts Pond Lane, a stunning residence located in the heart of Cary, NC. This exquisite home blends modern luxury with classic appeal, offering an unparalleled living experience in one of the region's desirable neighborhoods.As you approach this elegant property, you'll be",Steven Swanger EXP Realty LLC,35.812475,-78.775422,Nominatim
Cary,"$400,000",3,1,"1,050","1117 Evans Rd, Cary, NC 27513",0.47,"Location, Location, Location! Prime Cary Brick Ranch on Spacious Lot! This classic brick ranch home sits on just under 0.5 acre tucked away in the heart of Cary, offering a rare combination of space and convenience. Perfectly located just minutes from downtown Cary, Raleigh, and Morrisville, this","Darren Brothers eXp Realty, LLC - C",35.807309,-78.793702,Nominatim
Cary,"$1,339,286",N/A,N/A,N/A,"904 SW Maynard Rd, Cary, NC 27511",0.28,"Don't miss this opportunity to build your home in the heart of Cary! You CAN have a home with a basement on this Basement Lot! Must build withCaruso Homes. Select from one of 15 floor plans. Price is for lot ONLY. Buyer will need to add cost of lot finishing, home, and any upgrades for final",Chris Phelan Keller Williams Realty Cary,35.775992,-78.801522,Nominatim
Cary,"$548,611",N/A,N/A,N/A,"810 SW Maynard Rd, Cary, NC 27511",0.72,"Don't miss this opportunity to build your home in the heart of Cary! You CAN have a home with a basement on this Basement Lot! Must build withCaruso Homes. Select from one of 15 floor plans. Price is for lot ONLY. Buyer will need to add cost of lot finishing, home, and any upgrades for final",Chris Phelan Keller Williams Realty Cary,35.77238715098777,-78.7977453234301,Nominatim
Cary,"$549,900",5,3.5,"2,660","1017 Winwood Dr, Cary, NC 27511",0.58,"Approachable and charming from the street with its old-time rocking chair front porch, this ranch with full basement is surprisingly large inside, with a backyard that is expansive and wonderful. Updated, renovated and remodeled just 7 years ago, the kitchen has a large, open footprint with custom",David Worters Compass -- Raleigh,35.77155474279801,-78.79838255861775,Nominatim
Cary,"$515,000",4,2.5,"1,990","110 Ferris Wheel Ct, Cary, NC 27513",0.37,"RARE FIND! This charming, end of cul-de-sac home is sitting on nearly .4 acres. NO HOA! The desirable school district just minutes from Downtown Cary, I-40, numerous greenways, and multiple shopping/grocery options. Find yourself in a location within Cary's central district without the",Michael Wolgin The Wolgin Real Estate Group,35.79476779604389,-78.80013948752645,Nominatim
Cary,"$426,000",4,2.5,"1,650","1422 Dunbar Ct, Cary, NC 27511",0.4,"Welcome to this impressive property designed for modern living. Enjoy a warm and inviting atmosphere centered around a stunning fireplace, perfect for cozy relaxation. The entire interior features a neutral color palette, creating a serene backdrop that complements any decor style. The primary",Thomas Shoupe Opendoor Brokerage LLC,35.75598441144193,-78.80199373550893,Nominatim
Cary,"$464,000",PRICE,2,"1,683","308 Dunhagan Place, Cary, NC 27511",0.27,"PRICE IMPROVEMENT. Welcome to this charming ranch-style home offering 3 bedrooms, 2 baths, and seamless one-level living. Enjoy an open kitchen, a flex room with ample natural light, fenced yard and spacious back deck. Recently updated, conveniently located and filled with charm...this is the",Leigh Ann Thompson Coldwell Banker Advantage,35.7531915,-78.771349,Nominatim
